Codigo_dpto,Departamento,Cod_municipio,Municipio,Latitud,Longitud,Sexo,Fecha beneficio ó Inicio,Clasificacion Academica,Entidad Organización,Programa,Modalidad,Beneficio
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,F,06/15/2024 12:00:00 AM,Profesional,Universidad Nacional Abierta y a Distancia,Administración en Salud,Híbrido,Incentivo completo
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,F,06/14/2024 12:00:00 AM,Profesional,Universidad Nacional Abierta y a Distancia,Administración en Salud,Híbrido,Incentivo completo
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,F,06/14/2024 12:00:00 AM,Profesional,Universidad Nacional Abierta y a Distancia,Administración en Salud,Híbrido,Incentivo completo
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,M,06/11/2024 12:00:00 AM,Técnico,Fundación Politécnico Minuto de Dios,Técnico Profesional en Aseguramiento y Procesamiento de Bases de Datos,Virtual,Incentivo completo
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,M,06/14/2024 12:00:00 AM,Tecnología,Sena,Tecnología En Análisis Y Desarrollo De Software,Virtual,Incentivo completo
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,M,06/09/2024 12:00:00 AM,Profesional,Universidad Santiago de Cali,Ingeniería de Sistemas,Virtual,Incentivo completo
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,F,06/17/2024 12:00:00 AM,Profesional,Universidad del Quindío,Seguridad y Salud en el Trabajo Virtual,Virtual,Incentivo completo
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,F,12/04/2024 12:00:00 AM,Profesional,Universidad Santiago de Cali,Administración de Empresas,Virtual,Incentivo parcial
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,F,12/08/2024 12:00:00 AM,Profesional,Universidad Nacional Abierta y a Distancia,Ingenería de Sistemas,Virtual,Incentivo parcial
76,Valle del Cauca,76020,ALCALA,4.6739,-75.7825,M,12/08/2024 12:00:00 AM,Profesional,Universidad Nacional Abierta y a Distancia,Ingenería de Sistemas,Virtual,Incentivo completo
